店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
宴 （UTAGE） ハゲ天ミッドランドスクエア店,050-5493-7305,,愛知県,名古屋市中村区名駅,4-7-1,ミッドランドスクエア4F,https://utage-hageten.gorp.jp/,TRUE
全席個室 別邸杜の倉（morinokura） 名駅4丁目ミッドランド裏店,050-5486-3644,,愛知県,名古屋市中村区名駅,4-4-34,タクトビル4F,https://n233505.gorp.jp/,TRUE
蔵人厨ねのひ 名古屋駅前店,050-5484-6763,,愛知県,名古屋市中村区名駅,4-7-1,ミッドランドスクエア4F,https://n648900.gorp.jp/,TRUE
全席個室 牛タン焼肉×和牛居酒屋 MALT 名古屋駅店,050-5488-0394,,愛知県,名古屋市中村区椿町,14-7,TRUNK椿町5F,https://nc6w800.gorp.jp/,TRUE
おでん 天麩羅 十八番 名古屋駅店,050-5489-4907,,愛知県,名古屋市中村区名駅,5-22-11,,https://n947700.gorp.jp/,TRUE
個室 和食 接待 四季の蔵 右近,050-5486-0931,,愛知県,名古屋市西区那古野,1-36-19,,https://nb7d902.gorp.jp/,TRUE
名古屋名物 コーチン・知多豚 秀よし,050-5488-2269,,愛知県,名古屋市中村区則武,1-7-15,,https://n055111.gorp.jp/,TRUE
名古屋大酒場 かぶらや 総本家,050-5484-8904,,愛知県,名古屋市中村区椿町,15-8,チトセGLビルB2～1F,https://n241023.gorp.jp/,TRUE
名駅 りきゅう（Rikyu）,050-5487-6131,,愛知県,名古屋市中村区名駅,4-26-12,DK名駅笹島ビル1F,https://nbpv300.gorp.jp/,TRUE
鉄板居酒屋 完全個室 天頂,050-5488-3299,,愛知県,名古屋市中村区則武,1-14-25,名駅OTビル,https://nbtz200.gorp.jp/,TRUE
ささら庭 名古屋 名駅店,050-5484-6618,,愛知県,名古屋市中村区名駅,4-4-18,泰生ビル6F,https://nbas600.gorp.jp/,TRUE
博多野菜巻き串 もつ鍋 餃子 きじょうもん,050-5486-6228,,愛知県,名古屋市中村区名駅,4-16-33,パシフィックスクエア名駅1F,https://kijyoumon.gorp.jp/,TRUE
2000円 食べ放題飲み放題 居酒屋 おすすめ屋 名古屋駅店,050-5492-1138,,愛知県,名古屋市中村区名駅,3-18-9,MIZUNOビル3F,https://nc0c600.gorp.jp/,TRUE
魚河岸本舗 ぴち天 本店,050-5485-8595,,愛知県,名古屋市中村区名駅,2-36-8,知多屋名塩ビルB1～1F,https://n056305.gorp.jp/,TRUE
蕎麦と割烹の個室居酒屋 ふあろ,050-5493-4119,,愛知県,名古屋市中村区名駅,2-43-10,,https://nb43328.gorp.jp/,TRUE
雅じゃぽ 別邸 名古屋名駅 センチュリー豊田ビル店,050-5487-4913,,愛知県,名古屋市中村区名駅,4-9-8,センチュリー豊田ビルB1,https://na0p608.gorp.jp/,TRUE
和食 厨 盛田 ゲートタワー,050-5486-5755,,愛知県,名古屋市中村区名駅,1-1-3,12F,https://n648902.gorp.jp/,TRUE
目利きの銀次 名古屋太閤通口駅前店,052-451-6588,,愛知県,名古屋市中村区椿町,15-28,サン名駅西口ビル2・3F,https://n862436.gorp.jp/,TRUE
豆家別邸 しびかま 本店,050-5485-8925,,愛知県,名古屋市中村区名駅,3-22-5,,https://n081905.gorp.jp/,TRUE
はかた野菜巻き串 こだわり酎ハイ きばくもん 名駅店,050-5486-9875,,愛知県,名古屋市中村区名駅,3-24-9,吉十ビル,https://n136608.gorp.jp/,TRUE
魚とお肉 わら焼きと名古屋めし 十八番舟 名古屋駅前店（名駅）,050-5488-0640,,愛知県,名古屋市中村区椿町,13-12,椿町コモン1・2F,https://nbkg804.gorp.jp/,TRUE
本まぐろと名古屋飯 花かるた,050-5489-1721,,愛知県,名古屋市中村区椿町,16-22,2F,https://n039417.gorp.jp/,TRUE
いけす酒場 ぴち天 名駅中店,050-5484-9303,,愛知県,名古屋市中村区名駅,4-5-28,桜通り豊田ビルB1,https://n056308.gorp.jp/,TRUE
魚柳,050-5488-8044,,愛知県,名古屋市中村区名駅,4-15-15,,https://n106405.gorp.jp/,TRUE
名古屋名物居酒屋 てしごと家 名古屋駅新幹線口店,050-5484-8024,,愛知県,名古屋市中村区椿町,15-2,名古屋ミタニビルB1,https://imozou-ekinishi.gorp.jp/,TRUE
ひつまぶし 名古屋コーチン うな龍 名駅店,050-5488-3774,,愛知県,名古屋市中村区名駅南,1-17-2,,https://n002019.gorp.jp/,TRUE
個室焼鳥 風月 名古屋本店,050-5485-1446,,愛知県,名古屋市西区那古野,1-18-13,,https://nb7d900.gorp.jp/,TRUE
かりんとう はなれ,050-5494-4050,,愛知県,名古屋市中村区名駅,5-38-2,,https://nbxw000.gorp.jp/,TRUE
鴨鍋 鴨料理風月,050-5485-7291,,愛知県,名古屋市西区那古野,1-30-8,,https://nb7d901.gorp.jp/,TRUE
新和食 ひとはし,052-485-8258,,愛知県,名古屋市中村区名駅,3-17-34,,https://n814502.gorp.jp/,TRUE
かりんとう はなれ,050-5494-4050,,愛知県,名古屋市中村区名駅,5-38-2,,https://nbxw000.gorp.jp/,TRUE
うなぎ家 しば福や,050-5488-4632,,愛知県,名古屋市西区那古野,1-23-10,,https://nbua800.gorp.jp/,TRUE
全席個室 別邸杜の倉（morinokura） 名駅4丁目ミッドランド裏店,050-5486-3644,,愛知県,名古屋市中村区名駅,4-4-34,タクトビル4F,https://n233505.gorp.jp/,TRUE
